-0.0008,-0.0068,-0.0618,0.9981
-0.0008,-0.0069,-0.0618,0.9981
-0.0008,-0.0069,-0.0618,0.9981
-0.0008,-0.0069,-0.0618,0.9981
-0.0008,-0.0069,-0.0618,0.9981
-0.0008,-0.0070,-0.0618,0.9981
-0.0008,-0.0070,-0.0618,0.9981
-0.0008,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0008,-0.0070,-0.0618,0.9981
-0.0008,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0007,-0.0070,-0.0618,0.9981
-0.0007,-0.0071,-0.0618,0.9981
-0.0007,-0.0071,-0.0618,0.9981
-0.0007,-0.0071,-0.0618,0.9981
-0.0007,-0.0071,-0.0618,0.9981
-0.0007,-0.0071,-0.0618,0.9981
-0.0007,-0.0072,-0.0618,0.9981
-0.0007,-0.0072,-0.0618,0.9981
-0.0006,-0.0072,-0.0618,0.9981
-0.0002,-0.0078,-0.0611,0.9981
0.0001,-0.0084,-0.0583,0.9983
0.0009,-0.0098,-0.0530,0.9985
0.0008,-0.0097,-0.0468,0.9989
0.0007,-0.0096,-0.0401,0.9991
0.0006,-0.0098,-0.0330,0.9994
0.0005,-0.0099,-0.0250,0.9996
0.0015,-0.0103,-0.0147,0.9998
0.0033,-0.0113,-0.0014,0.9999
0.0050,-0.0123,0.0145,0.9998
0.0048,-0.0124,0.0320,0.9994
0.0046,-0.0125,0.0511,0.9986
0.0043,-0.0125,0.0715,0.9973
0.0040,-0.0127,0.0930,0.9956
0.0036,-0.0128,0.1157,0.9932
0.0033,-0.0128,0.1388,0.9902
0.0030,-0.0128,0.1617,0.9868
0.0027,-0.0128,0.1852,0.9826
0.0025,-0.0129,0.2102,0.9776
0.0023,-0.0129,0.2365,0.9715
0.0021,-0.0128,0.2634,0.9646
0.0017,-0.0127,0.2905,0.9568
0.0013,-0.0126,0.3174,0.9482
0.0009,-0.0125,0.3443,0.9388
0.0006,-0.0124,0.3712,0.9285
0.0003,-0.0122,0.3982,0.9172
0.0000,-0.0122,0.4259,0.9047
-0.0003,-0.0121,0.4542,0.8908
-0.0008,-0.0120,0.4823,0.8759
-0.0013,-0.0117,0.5098,0.8602
-0.0018,-0.0114,0.5371,0.8434
-0.0023,-0.0110,0.5638,0.8258
-0.0028,-0.0106,0.5899,0.8074
-0.0031,-0.0103,0.6155,0.7881
-0.0035,-0.0099,0.6407,0.7677
-0.0038,-0.0095,0.6653,0.7465
-0.0043,-0.0090,0.6890,0.7247
-0.0046,-0.0084,0.7116,0.7025
-0.0048,-0.0079,0.7332,0.6799
-0.0052,-0.0073,0.7538,0.6570
-0.0057,-0.0067,0.7737,0.6335
-0.0059,-0.0062,0.7930,0.6091
-0.0062,-0.0057,0.8117,0.5840
-0.0064,-0.0052,0.8300,0.5577
-0.0065,-0.0047,0.8480,0.5299
-0.0065,-0.0042,0.8650,0.5017
-0.0072,-0.0039,0.8801,0.4747
-0.0078,-0.0037,0.8934,0.4491
-0.0083,-0.0035,0.9055,0.4244
-0.0086,-0.0031,0.9162,0.4007
-0.0087,-0.0027,0.9258,0.3779
-0.0089,-0.0024,0.9348,0.3550
-0.0090,-0.0021,0.9434,0.3315
-0.0092,-0.0018,0.9512,0.3083
-0.0094,-0.0016,0.9584,0.2854
-0.0096,-0.0015,0.9647,0.2632
-0.0098,-0.0013,0.9703,0.2418
-0.0100,-0.0012,0.9752,0.2209
-0.0101,-0.0010,0.9796,0.2006
-0.0103,-0.0007,0.9834,0.1812
-0.0107,-0.0005,0.9865,0.1631
-0.0122,0.0000,0.9891,0.1467
-0.0133,0.0001,0.9912,0.1319
-0.0136,-0.0003,0.9929,0.1184
-0.0139,-0.0008,0.9942,0.1062
-0.0145,-0.0010,0.9954,0.0952
-0.0151,-0.0012,0.9962,0.0858
-0.0160,-0.0009,0.9969,0.0777
-0.0173,-0.0009,0.9973,0.0714
-0.0186,-0.0009,0.9975,0.0677
-0.0203,-0.0010,0.9976,0.0666
-0.0202,-0.0009,0.9976,0.0666
-0.0201,-0.0009,0.9976,0.0666
-0.0201,-0.0008,0.9976,0.0666
-0.0200,-0.0008,0.9976,0.0666
-0.0200,-0.0007,0.9976,0.0666
-0.0200,-0.0007,0.9976,0.0666
-0.0199,-0.0006,0.9976,0.0666
-0.0198,-0.0005,0.9976,0.0666
-0.0198,-0.0004,0.9976,0.0666
-0.0197,-0.0004,0.9976,0.0666
-0.0196,-0.0004,0.9976,0.0666
-0.0195,-0.0004,0.9976,0.0666
-0.0195,-0.0003,0.9976,0.0666
-0.0195,-0.0003,0.9976,0.0666
-0.0195,-0.0003,0.9976,0.0666
-0.0194,-0.0002,0.9976,0.0666
-0.0194,-0.0001,0.9976,0.0666
-0.0193,-0.0000,0.9976,0.0666
-0.0193,0.0000,0.9976,0.0666
-0.0192,0.0001,0.9976,0.0666
-0.0191,0.0001,0.9976,0.0666
-0.0190,0.0001,0.9976,0.0666
-0.0190,0.0001,0.9976,0.0666
-0.0189,0.0002,0.9976,0.0666
-0.0189,0.0002,0.9976,0.0666
-0.0188,0.0003,0.9976,0.0666
-0.0188,0.0004,0.9976,0.0666
-0.0187,0.0004,0.9976,0.0666
-0.0186,0.0004,0.9976,0.0666
-0.0186,0.0004,0.9976,0.0666
-0.0185,0.0004,0.9976,0.0666
-0.0185,0.0005,0.9976,0.0666
-0.0185,0.0005,0.9976,0.0666
-0.0184,0.0006,0.9976,0.0666
-0.0184,0.0006,0.9976,0.0666
-0.0183,0.0007,0.9976,0.0666
-0.0183,0.0008,0.9976,0.0666
-0.0183,0.0008,0.9976,0.0666
-0.0182,0.0008,0.9976,0.0666
-0.0176,0.0013,0.9976,0.0663
-0.0169,0.0019,0.9978,0.0647
-0.0161,0.0032,0.9980,0.0615
-0.0152,0.0045,0.9983,0.0568
